s_m,x_m,y_m,z_ugr_m,radius_estimate_m,xy_method,geo_quality
0.000,0.000,0.000,,782.425,closed_catmull_rom_through_station_anchors,GEO_D
25.000,15.928,19.268,,849.881,closed_catmull_rom_through_station_anchors,GEO_D
50.000,32.415,38.060,,821.461,closed_catmull_rom_through_station_anchors,GEO_D
75.000,49.467,56.340,,797.706,closed_catmull_rom_through_station_anchors,GEO_D
100.000,67.083,74.078,,778.328,closed_catmull_rom_through_station_anchors,GEO_D
125.000,85.260,91.241,,762.211,closed_catmull_rom_through_station_anchors,GEO_D
150.000,103.989,107.798,,750.953,closed_catmull_rom_through_station_anchors,GEO_D
175.000,123.259,123.723,,743.290,closed_catmull_rom_through_station_anchors,GEO_D
200.000,143.054,138.990,,740.646,closed_catmull_rom_through_station_anchors,GEO_D
225.000,163.353,153.581,,741.787,closed_catmull_rom_through_station_anchors,GEO_D
250.000,184.132,167.480,,748.065,closed_catmull_rom_through_station_anchors,GEO_D
275.000,205.364,180.677,,758.760,closed_catmull_rom_through_station_anchors,GEO_D
300.000,227.019,193.167,,774.465,closed_catmull_rom_through_station_anchors,GEO_D
325.000,249.066,204.952,,795.371,closed_catmull_rom_through_station_anchors,GEO_D
350.000,271.473,216.038,,821.732,closed_catmull_rom_through_station_anchors,GEO_D
375.000,294.206,226.437,,853.879,closed_catmull_rom_through_station_anchors,GEO_D
400.000,317.234,236.166,,892.220,closed_catmull_rom_through_station_anchors,GEO_D
425.000,340.526,245.247,,937.260,closed_catmull_rom_through_station_anchors,GEO_D
450.000,364.052,253.703,,989.070,closed_catmull_rom_through_station_anchors,GEO_D
475.000,387.784,261.562,,1049.767,closed_catmull_rom_through_station_anchors,GEO_D
500.000,411.696,268.853,,1118.585,closed_catmull_rom_through_station_anchors,GEO_D
525.000,435.766,275.608,,1197.488,closed_catmull_rom_through_station_anchors,GEO_D
550.000,459.971,281.860,,1286.854,closed_catmull_rom_through_station_anchors,GEO_D
575.000,484.293,287.640,,1390.010,closed_catmull_rom_through_station_anchors,GEO_D
600.000,508.716,292.981,,1506.923,closed_catmull_rom_through_station_anchors,GEO_D
625.000,533.223,297.917,,1641.050,closed_catmull_rom_through_station_anchors,GEO_D
650.000,557.803,302.479,,1796.496,closed_catmull_rom_through_station_anchors,GEO_D
675.000,582.444,306.698,,1974.292,closed_catmull_rom_through_station_anchors,GEO_D
700.000,607.137,310.605,,2183.116,closed_catmull_rom_through_station_anchors,GEO_D
725.000,631.873,314.229,,2428.745,closed_catmull_rom_through_station_anchors,GEO_D
750.000,656.645,317.599,,2718.833,closed_catmull_rom_through_station_anchors,GEO_D
775.000,681.446,320.740,,3072.202,closed_catmull_rom_through_station_anchors,GEO_D
800.000,706.273,323.679,,3501.275,closed_catmull_rom_through_station_anchors,GEO_D
825.000,731.120,326.441,,4041.556,closed_catmull_rom_through_station_anchors,GEO_D
850.000,755.983,329.050,,4733.288,closed_catmull_rom_through_station_anchors,GEO_D
875.000,780.860,331.527,,5654.808,closed_catmull_rom_through_station_anchors,GEO_D
900.000,805.748,333.894,,6939.775,closed_catmull_rom_through_station_anchors,GEO_D
925.000,830.644,336.171,,8842.462,closed_catmull_rom_through_station_anchors,GEO_D
950.000,855.547,338.378,,11983.424,closed_catmull_rom_through_station_anchors,GEO_D
975.000,880.454,340.533,,18048.018,closed_catmull_rom_through_station_anchors,GEO_D
1000.000,905.363,342.653,,34880.245,closed_catmull_rom_through_station_anchors,GEO_D
1025.000,930.275,344.755,,308010.534,closed_catmull_rom_through_station_anchors,GEO_D
1050.000,955.186,346.856,,47712.170,closed_catmull_rom_through_station_anchors,GEO_D
1075.000,980.097,348.970,,22743.820,closed_catmull_rom_through_station_anchors,GEO_D
1100.000,1005.005,351.111,,15172.482,closed_catmull_rom_through_station_anchors,GEO_D
1125.000,1029.910,353.293,,11526.992,closed_catmull_rom_through_station_anchors,GEO_D
1150.000,1054.810,355.529,,9368.228,closed_catmull_rom_through_station_anchors,GEO_D
