y_m,z_m
0.000000000,0.180000000
0.010016400,0.179899662
0.014888671,0.179653259
0.019736864,0.179110335
0.024542950,0.178272909
0.026654191,0.177674446
0.028655523,0.176774350
0.030504111,0.175591886
0.032160392,0.174152361
0.033588917,0.172486584
0.034759114,0.170630206
0.035645938,0.168622958
0.036230408,0.166507800
0.036500015,0.164330001
0.036500000,0.164330000
0.037292586,0.148478276
0.037172575,0.147112097
0.036685893,0.145829916
0.035869155,0.144728196
0.034783806,0.143889825
0.033511503,0.143377876
0.021073618,0.140268404
0.019135628,0.139603618
0.017338975,0.138618843
0.015736032,0.137342788
0.014373527,0.135812649
0.013291178,0.134073032
0.012520537,0.132174650
0.012084069,0.130172841
0.010735845,0.118298218
0.009771822,0.106386247
0.009193006,0.094449357
0.009000000,0.082500000
0.009113341,0.072978430
0.009453302,0.063462255
0.010019688,0.053956870
0.010812179,0.044467660
0.011292155,0.041430814
0.012141271,0.038475851
0.013346685,0.035647462
0.014890165,0.032988426
0.016748366,0.030538958
0.018893185,0.028336105
0.021292182,0.026413186
0.023909074,0.024799283
0.026704281,0.023518804
0.029635527,0.022591118
0.070029857,0.012492536
0.071230474,0.012379751
0.072410144,0.012629913
0.073461649,0.013220284
0.074289421,0.014097207
0.074818225,0.015180982
0.075000000,0.016373106
0.075000000,0.002000000
0.074847759,0.001234633
0.074414214,0.000585786
0.073765367,0.000152241
0.073000000,0.000000000
0.000000000,0.000000000
-0.073000000,0.000000000
-0.073765367,0.000152241
-0.074414214,0.000585786
-0.074847759,0.001234633
-0.075000000,0.002000000
-0.075000000,0.016373106
-0.074818225,0.015180982
-0.074289421,0.014097207
-0.073461649,0.013220284
-0.072410144,0.012629913
-0.071230474,0.012379751
-0.070029857,0.012492536
-0.029635527,0.022591118
-0.026704281,0.023518804
-0.023909074,0.024799283
-0.021292182,0.026413186
-0.018893185,0.028336105
-0.016748366,0.030538958
-0.014890165,0.032988426
-0.013346685,0.035647462
-0.012141271,0.038475851
-0.011292155,0.041430814
-0.010812179,0.044467660
-0.010019688,0.053956870
-0.009453302,0.063462255
-0.009113341,0.072978430
-0.009000000,0.082500000
-0.009193006,0.094449357
-0.009771822,0.106386247
-0.010735845,0.118298218
-0.012084069,0.130172841
-0.012520537,0.132174650
-0.013291178,0.134073032
-0.014373527,0.135812649
-0.015736032,0.137342788
-0.017338975,0.138618843
-0.019135628,0.139603618
-0.021073618,0.140268404
-0.033511503,0.143377876
-0.034783806,0.143889825
-0.035869155,0.144728196
-0.036685893,0.145829916
-0.037172575,0.147112097
-0.037292586,0.148478276
-0.036500000,0.164330000
-0.036500015,0.164330001
-0.036230408,0.166507800
-0.035645938,0.168622958
-0.034759114,0.170630206
-0.033588917,0.172486584
-0.032160392,0.174152361
-0.030504111,0.175591886
-0.028655523,0.176774350
-0.026654191,0.177674446
-0.024542950,0.178272909
-0.019736864,0.179110335
-0.014888671,0.179653259
-0.010016400,0.179899662
